country;variable;percentile;year;value;age;pop
US-NC;sfiinc992t;p99.5p100;1917;0.0837;992;t
US-NC;sfiinc992t;p99.5p100;1918;0.0862;992;t
US-NC;sfiinc992t;p99.5p100;1919;0.1042;992;t
US-NC;sfiinc992t;p99.5p100;1920;0.1046;992;t
US-NC;sfiinc992t;p99.5p100;1921;0.0969;992;t
US-NC;sfiinc992t;p99.5p100;1922;0.1096;992;t
US-NC;sfiinc992t;p99.5p100;1923;0.1099;992;t
US-NC;sfiinc992t;p99.5p100;1924;0.1092;992;t
US-NC;sfiinc992t;p99.5p100;1925;0.114;992;t
US-NC;sfiinc992t;p99.5p100;1926;0.1144;992;t
US-NC;sfiinc992t;p99.5p100;1927;0.1265;992;t
US-NC;sfiinc992t;p99.5p100;1928;0.1363;992;t
US-NC;sfiinc992t;p99.5p100;1929;0.1001;992;t
US-NC;sfiinc992t;p99.5p100;1930;0.0963;992;t
US-NC;sfiinc992t;p99.5p100;1931;0.1036;992;t
US-NC;sfiinc992t;p99.5p100;1932;0.1133;992;t
US-NC;sfiinc992t;p99.5p100;1933;0.1093;992;t
US-NC;sfiinc992t;p99.5p100;1934;0.1126;992;t
US-NC;sfiinc992t;p99.5p100;1935;0.1101;992;t
US-NC;sfiinc992t;p99.5p100;1936;0.1269;992;t
US-NC;sfiinc992t;p99.5p100;1937;0.1166;992;t
US-NC;sfiinc992t;p99.5p100;1938;0.1133;992;t
US-NC;sfiinc992t;p99.5p100;1939;0.1143;992;t
US-NC;sfiinc992t;p99.5p100;1940;0.1205;992;t
US-NC;sfiinc992t;p99.5p100;1941;0.1156;992;t
US-NC;sfiinc992t;p99.5p100;1942;0.0968;992;t
US-NC;sfiinc992t;p99.5p100;1943;0.0851;992;t
US-NC;sfiinc992t;p99.5p100;1944;0.0788;992;t
US-NC;sfiinc992t;p99.5p100;1945;0.0897;992;t
US-NC;sfiinc992t;p99.5p100;1946;0.1003;992;t
US-NC;sfiinc992t;p99.5p100;1947;0.0903;992;t
US-NC;sfiinc992t;p99.5p100;1948;0.0858;992;t
US-NC;sfiinc992t;p99.5p100;1949;0.0798;992;t
US-NC;sfiinc992t;p99.5p100;1950;0.082;992;t
US-NC;sfiinc992t;p99.5p100;1951;0.0864;992;t
US-NC;sfiinc992t;p99.5p100;1952;0.0738;992;t
US-NC;sfiinc992t;p99.5p100;1953;0.0631;992;t
US-NC;sfiinc992t;p99.5p100;1954;0.0698;992;t
US-NC;sfiinc992t;p99.5p100;1955;0.0711;992;t
US-NC;sfiinc992t;p99.5p100;1956;0.0701;992;t
US-NC;sfiinc992t;p99.5p100;1957;0.0696;992;t
US-NC;sfiinc992t;p99.5p100;1958;0.0635;992;t
US-NC;sfiinc992t;p99.5p100;1959;0.0679;992;t
US-NC;sfiinc992t;p99.5p100;1960;0.0635;992;t
US-NC;sfiinc992t;p99.5p100;1961;0.0667;992;t
US-NC;sfiinc992t;p99.5p100;1962;0.0667;992;t
US-NC;sfiinc992t;p99.5p100;1963;0.0662;992;t
US-NC;sfiinc992t;p99.5p100;1964;0.0673;992;t
US-NC;sfiinc992t;p99.5p100;1965;0.0747;992;t
US-NC;sfiinc992t;p99.5p100;1966;0.0718;992;t
US-NC;sfiinc992t;p99.5p100;1967;0.0677;992;t
US-NC;sfiinc992t;p99.5p100;1968;0.0718;992;t
US-NC;sfiinc992t;p99.5p100;1969;0.0657;992;t
US-NC;sfiinc992t;p99.5p100;1970;0.0603;992;t
US-NC;sfiinc992t;p99.5p100;1971;0.0624;992;t
US-NC;sfiinc992t;p99.5p100;1972;0.0617;992;t
US-NC;sfiinc992t;p99.5p100;1973;0.0569;992;t
US-NC;sfiinc992t;p99.5p100;1974;0.0556;992;t
US-NC;sfiinc992t;p99.5p100;1975;0.0541;992;t
US-NC;sfiinc992t;p99.5p100;1976;0.0549;992;t
US-NC;sfiinc992t;p99.5p100;1977;0.0556;992;t
US-NC;sfiinc992t;p99.5p100;1978;0.0543;992;t
US-NC;sfiinc992t;p99.5p100;1979;0.0634;992;t
US-NC;sfiinc992t;p99.5p100;1980;0.0613;992;t
US-NC;sfiinc992t;p99.5p100;1981;0.0593;992;t
US-NC;sfiinc992t;p99.5p100;1982;0.0761;992;t
US-NC;sfiinc992t;p99.5p100;1983;0.0711;992;t
US-NC;sfiinc992t;p99.5p100;1984;0.081;992;t
US-NC;sfiinc992t;p99.5p100;1985;0.0856;992;t
US-NC;sfiinc992t;p99.5p100;1986;0.112;992;t
US-NC;sfiinc992t;p99.5p100;1987;0.0819;992;t
US-NC;sfiinc992t;p99.5p100;1988;0.0995;992;t
US-NC;sfiinc992t;p99.5p100;1989;0.0971;992;t
US-NC;sfiinc992t;p99.5p100;1990;0.0852;992;t
US-NC;sfiinc992t;p99.5p100;1991;0.0813;992;t
US-NC;sfiinc992t;p99.5p100;1992;0.0915;992;t
US-NC;sfiinc992t;p99.5p100;1993;0.0888;992;t
US-NC;sfiinc992t;p99.5p100;1994;0.0912;992;t
US-NC;sfiinc992t;p99.5p100;1995;0.0948;992;t
US-NC;sfiinc992t;p99.5p100;1996;0.103;992;t
US-NC;sfiinc992t;p99.5p100;1997;0.1101;992;t
US-NC;sfiinc992t;p99.5p100;1998;0.1156;992;t
US-NC;sfiinc992t;p99.5p100;1999;0.1139;992;t
US-NC;sfiinc992t;p99.5p100;2000;0.1212;992;t
US-NC;sfiinc992t;p99.5p100;2001;0.1041;992;t
US-NC;sfiinc992t;p99.5p100;2002;0.1056;992;t
US-NC;sfiinc992t;p99.5p100;2003;0.1109;992;t
US-NC;sfiinc992t;p99.5p100;2004;0.1198;992;t
US-NC;sfiinc992t;p99.5p100;2005;0.1322;992;t
US-NC;sfiinc992t;p99.5p100;2006;0.1402;992;t
US-NC;sfiinc992t;p99.5p100;2007;0.14;992;t
US-NC;sfiinc992t;p99.5p100;2008;0.1167;992;t
US-NC;sfiinc992t;p99.5p100;2009;0.1039;992;t
US-NC;sfiinc992t;p99.5p100;2010;0.1107;992;t
US-NC;sfiinc992t;p99.5p100;2011;0.1149;992;t
US-NC;sfiinc992t;p99.5p100;2012;0.129;992;t
US-NC;sfiinc992t;p99.5p100;2013;0.1118;992;t
US-NC;sfiinc992t;p99.5p100;2014;0.1268;992;t
US-NC;sfiinc992t;p99.5p100;2015;0.1365;992;t
US-NC;sfiinc992t;p99.5p100;2016;0.1327;992;t
US-NC;sfiinc992t;p99.5p100;2017;0.1321;992;t
US-NC;sfiinc992t;p99.5p100;2018;0.143;992;t
US-NC;sptinc992t;p0p99;1917;0.8894;992;t
US-NC;sptinc992t;p0p99;1918;0.8856;992;t
US-NC;sptinc992t;p0p99;1919;0.8603;992;t
US-NC;sptinc992t;p0p99;1920;0.863;992;t
US-NC;sptinc992t;p0p99;1921;0.8657;992;t
US-NC;sptinc992t;p0p99;1922;0.852;992;t
US-NC;sptinc992t;p0p99;1923;0.853;992;t
US-NC;sptinc992t;p0p99;1924;0.8528;992;t
US-NC;sptinc992t;p0p99;1925;0.849;992;t
US-NC;sptinc992t;p0p99;1926;0.8494;992;t
US-NC;sptinc992t;p0p99;1927;0.8378;992;t
US-NC;sptinc992t;p0p99;1928;0.8304;992;t
US-NC;sptinc992t;p0p99;1929;0.8699;992;t
US-NC;sptinc992t;p0p99;1930;0.8708;992;t
US-NC;sptinc992t;p0p99;1931;0.8592;992;t
US-NC;sptinc992t;p0p99;1932;0.8462;992;t
US-NC;sptinc992t;p0p99;1933;0.8531;992;t
US-NC;sptinc992t;p0p99;1934;0.8508;992;t
US-NC;sptinc992t;p0p99;1935;0.8545;992;t
US-NC;sptinc992t;p0p99;1936;0.8362;992;t
US-NC;sptinc992t;p0p99;1937;0.8474;992;t
US-NC;sptinc992t;p0p99;1938;0.8496;992;t
US-NC;sptinc992t;p0p99;1939;0.8486;992;t
US-NC;sptinc992t;p0p99;1940;0.8403;992;t
US-NC;sptinc992t;p0p99;1941;0.8478;992;t
US-NC;sptinc992t;p0p99;1942;0.8741;992;t
US-NC;sptinc992t;p0p99;1943;0.8886;992;t
US-NC;sptinc992t;p0p99;1944;0.8955;992;t
US-NC;sptinc992t;p0p99;1945;0.8796;992;t
US-NC;sptinc992t;p0p99;1946;0.8659;992;t
US-NC;sptinc992t;p0p99;1947;0.8766;992;t
US-NC;sptinc992t;p0p99;1948;0.8836;992;t
US-NC;sptinc992t;p0p99;1949;0.8913;992;t
US-NC;sptinc992t;p0p99;1950;0.8882;992;t
US-NC;sptinc992t;p0p99;1951;0.6685;992;t
US-NC;sptinc992t;p0p99;1952;0.8969;992;t
US-NC;sptinc992t;p0p99;1953;0.9087;992;t
US-NC;sptinc992t;p0p99;1954;0.9015;992;t
US-NC;sptinc992t;p0p99;1955;0.8984;992;t
US-NC;sptinc992t;p0p99;1956;0.9026;992;t
US-NC;sptinc992t;p0p99;1957;0.9012;992;t
US-NC;sptinc992t;p0p99;1958;0.9089;992;t
US-NC;sptinc992t;p0p99;1959;0.9043;992;t
US-NC;sptinc992t;p0p99;1960;0.9078;992;t
US-NC;sptinc992t;p0p99;1961;0.9047;992;t
US-NC;sptinc992t;p0p99;1962;0.9038;992;t
US-NC;sptinc992t;p0p99;1963;0.905;992;t
US-NC;sptinc992t;p0p99;1964;0.9033;992;t
US-NC;sptinc992t;p0p99;1965;0.8916;992;t
US-NC;sptinc992t;p0p99;1966;0.8983;992;t
US-NC;sptinc992t;p0p99;1967;0.901;992;t
US-NC;sptinc992t;p0p99;1968;0.8987;992;t
US-NC;sptinc992t;p0p99;1969;0.9056;992;t
US-NC;sptinc992t;p0p99;1970;0.9124;992;t
US-NC;sptinc992t;p0p99;1971;0.9095;992;t
US-NC;sptinc992t;p0p99;1972;0.9093;992;t
US-NC;sptinc992t;p0p99;1973;0.9155;992;t
US-NC;sptinc992t;p0p99;1974;0.9183;992;t
US-NC;sptinc992t;p0p99;1975;0.9189;992;t
US-NC;sptinc992t;p0p99;1976;0.918;992;t
US-NC;sptinc992t;p0p99;1977;0.916;992;t
US-NC;sptinc992t;p0p99;1978;0.9184;992;t
US-NC;sptinc992t;p0p99;1979;0.9101;992;t
US-NC;sptinc992t;p0p99;1980;0.9106;992;t
US-NC;sptinc992t;p0p99;1981;0.9133;992;t
US-NC;sptinc992t;p0p99;1982;0.8968;992;t
US-NC;sptinc992t;p0p99;1983;0.9024;992;t
US-NC;sptinc992t;p0p99;1984;0.8914;992;t
US-NC;sptinc992t;p0p99;1985;0.8857;992;t
US-NC;sptinc992t;p0p99;1986;0.8569;992;t
US-NC;sptinc992t;p0p99;1987;0.8881;992;t
US-NC;sptinc992t;p0p99;1988;0.8693;992;t
US-NC;sptinc992t;p0p99;1989;0.8708;992;t
US-NC;sptinc992t;p0p99;1990;0.8852;992;t
US-NC;sptinc992t;p0p99;1991;0.8888;992;t
US-NC;sptinc992t;p0p99;1992;0.8778;992;t
US-NC;sptinc992t;p0p99;1993;0.8804;992;t
US-NC;sptinc992t;p0p99;1994;0.8771;992;t
US-NC;sptinc992t;p0p99;1995;0.8718;992;t
US-NC;sptinc992t;p0p99;1996;0.8627;992;t
US-NC;sptinc992t;p0p99;1997;0.8543;992;t
US-NC;sptinc992t;p0p99;1998;0.848;992;t
US-NC;sptinc992t;p0p99;1999;0.849;992;t
US-NC;sptinc992t;p0p99;2000;0.8411;992;t
US-NC;sptinc992t;p0p99;2001;0.8588;992;t
US-NC;sptinc992t;p0p99;2002;0.8582;992;t
US-NC;sptinc992t;p0p99;2003;0.8525;992;t
US-NC;sptinc992t;p0p99;2004;0.8432;992;t
US-NC;sptinc992t;p0p99;2005;0.8298;992;t
US-NC;sptinc992t;p0p99;2006;0.8209;992;t
US-NC;sptinc992t;p0p99;2007;0.8221;992;t
US-NC;sptinc992t;p0p99;2008;0.8483;992;t
US-NC;sptinc992t;p0p99;2009;0.8614;992;t
US-NC;sptinc992t;p0p99;2010;0.8526;992;t
US-NC;sptinc992t;p0p99;2011;0.847;992;t
US-NC;sptinc992t;p0p99;2012;0.8325;992;t
US-NC;sptinc992t;p0p99;2013;0.8482;992;t
US-NC;sptinc992t;p0p99;2014;0.8324;992;t
US-NC;sptinc992t;p0p99;2015;0.8225;992;t
US-NC;sptinc992t;p0p99;2016;0.8257;992;t
US-NC;sptinc992t;p0p99;2017;0.8262;992;t
US-NC;sptinc992t;p0p99;2018;0.8136;992;t
US-NC;afiinc992t;p99.5p100;1917;175649.1;992;t
US-NC;afiinc992t;p99.5p100;1918;175810.6;992;t
US-NC;afiinc992t;p99.5p100;1919;218513.2;992;t
US-NC;afiinc992t;p99.5p100;1920;171847.0;992;t
US-NC;afiinc992t;p99.5p100;1921;136053.2;992;t
US-NC;afiinc992t;p99.5p100;1922;176747.5;992;t
US-NC;afiinc992t;p99.5p100;1923;194714.5;992;t
US-NC;afiinc992t;p99.5p100;1924;192348.1;992;t
US-NC;afiinc992t;p99.5p100;1925;209497.1;992;t
US-NC;afiinc992t;p99.5p100;1926;210418.1;992;t
US-NC;afiinc992t;p99.5p100;1927;235708.8;992;t
US-NC;afiinc992t;p99.5p100;1928;265041.5;992;t
US-NC;afiinc992t;p99.5p100;1929;199739.4;992;t
US-NC;afiinc992t;p99.5p100;1930;166034.0;992;t
US-NC;afiinc992t;p99.5p100;1931;158763.1;992;t
US-NC;afiinc992t;p99.5p100;1932;145767.6;992;t
US-NC;afiinc992t;p99.5p100;1933;162050.0;992;t
US-NC;afiinc992t;p99.5p100;1934;192616.0;992;t
US-NC;afiinc992t;p99.5p100;1935;200159.7;992;t
US-NC;afiinc992t;p99.5p100;1936;246015.5;992;t
US-NC;afiinc992t;p99.5p100;1937;237095.7;992;t
US-NC;afiinc992t;p99.5p100;1938;210802.0;992;t
US-NC;afiinc992t;p99.5p100;1939;231399.7;992;t
US-NC;afiinc992t;p99.5p100;1940;247818.4;992;t
US-NC;afiinc992t;p99.5p100;1941;297123.2;992;t
US-NC;afiinc992t;p99.5p100;1942;310909.4;992;t
US-NC;afiinc992t;p99.5p100;1943;323759.4;992;t
US-NC;afiinc992t;p99.5p100;1944;298427.8;992;t
US-NC;afiinc992t;p99.5p100;1945;340647.4;992;t
US-NC;afiinc992t;p99.5p100;1946;386613.0;992;t
US-NC;afiinc992t;p99.5p100;1947;329237.4;992;t
US-NC;afiinc992t;p99.5p100;1948;333797.8;992;t
US-NC;afiinc992t;p99.5p100;1949;301151.6;992;t
US-NC;afiinc992t;p99.5p100;1950;354720.5;992;t
US-NC;afiinc992t;p99.5p100;1951;388486.8;992;t
US-NC;afiinc992t;p99.5p100;1952;329662.2;992;t
US-NC;afiinc992t;p99.5p100;1953;286695.4;992;t
US-NC;afiinc992t;p99.5p100;1954;319610.4;992;t
US-NC;afiinc992t;p99.5p100;1955;349192.6;992;t
US-NC;afiinc992t;p99.5p100;1956;351683.9;992;t
US-NC;afiinc992t;p99.5p100;1957;330781.7;992;t
US-NC;afiinc992t;p99.5p100;1958;305199.5;992;t
US-NC;afiinc992t;p99.5p100;1959;349253.2;992;t
US-NC;afiinc992t;p99.5p100;1960;334235.5;992;t
US-NC;afiinc992t;p99.5p100;1961;362749.5;992;t
US-NC;afiinc992t;p99.5p100;1962;371230.9;992;t
US-NC;afiinc992t;p99.5p100;1963;377411.1;992;t
US-NC;afiinc992t;p99.5p100;1964;405892.1;992;t
US-NC;afiinc992t;p99.5p100;1965;469912.7;992;t
US-NC;afiinc992t;p99.5p100;1966;479778.8;992;t
US-NC;afiinc992t;p99.5p100;1967;473076.0;992;t
US-NC;afiinc992t;p99.5p100;1968;524955.3;992;t
US-NC;afiinc992t;p99.5p100;1969;490737.8;992;t
US-NC;afiinc992t;p99.5p100;1970;448742.0;992;t
US-NC;afiinc992t;p99.5p100;1971;468779.7;992;t
US-NC;afiinc992t;p99.5p100;1972;494428.5;992;t
US-NC;afiinc992t;p99.5p100;1973;474473.4;992;t
US-NC;afiinc992t;p99.5p100;1974;453395.5;992;t
US-NC;afiinc992t;p99.5p100;1975;409370.3;992;t
US-NC;afiinc992t;p99.5p100;1976;434313.1;992;t
US-NC;afiinc992t;p99.5p100;1977;441563.9;992;t
US-NC;afiinc992t;p99.5p100;1978;443124.9;992;t
US-NC;afiinc992t;p99.5p100;1979;510436.9;992;t
US-NC;afiinc992t;p99.5p100;1980;500678.8;992;t
US-NC;afiinc992t;p99.5p100;1981;474902.3;992;t
US-NC;afiinc992t;p99.5p100;1982;579751.6;992;t
US-NC;afiinc992t;p99.5p100;1983;567902.1;992;t
US-NC;afiinc992t;p99.5p100;1984;680089.1;992;t
US-NC;afiinc992t;p99.5p100;1985;733006.3;992;t
US-NC;afiinc992t;p99.5p100;1986;1040612.4;992;t
US-NC;afiinc992t;p99.5p100;1987;739250.1;992;t
US-NC;afiinc992t;p99.5p100;1988;953321.0;992;t
US-NC;afiinc992t;p99.5p100;1989;921846.4;992;t
US-NC;afiinc992t;p99.5p100;1990;798127.1;992;t
US-NC;afiinc992t;p99.5p100;1991;738744.3;992;t
US-NC;afiinc992t;p99.5p100;1992;865158.4;992;t
US-NC;afiinc992t;p99.5p100;1993;846689.4;992;t
US-NC;afiinc992t;p99.5p100;1994;891006.3;992;t
US-NC;afiinc992t;p99.5p100;1995;969372.6;992;t
US-NC;afiinc992t;p99.5p100;1996;1088336.3;992;t
US-NC;afiinc992t;p99.5p100;1997;1239129.3;992;t
US-NC;afiinc992t;p99.5p100;1998;1381020.2;992;t
US-NC;afiinc992t;p99.5p100;1999;1424910.0;992;t
US-NC;afiinc992t;p99.5p100;2000;1501913.9;992;t
US-NC;afiinc992t;p99.5p100;2001;1206658.3;992;t
US-NC;afiinc992t;p99.5p100;2002;1144208.6;992;t
US-NC;afiinc992t;p99.5p100;2003;1196079.3;992;t
US-NC;afiinc992t;p99.5p100;2004;1383663.7;992;t
US-NC;afiinc992t;p99.5p100;2005;1602013.7;992;t
US-NC;afiinc992t;p99.5p100;2006;1749793.9;992;t
US-NC;afiinc992t;p99.5p100;2007;1863306.4;992;t
US-NC;afiinc992t;p99.5p100;2008;1446700.0;992;t
US-NC;afiinc992t;p99.5p100;2009;1142994.5;992;t
US-NC;afiinc992t;p99.5p100;2010;1204798.6;992;t
US-NC;afiinc992t;p99.5p100;2011;1217619.3;992;t
US-NC;afiinc992t;p99.5p100;2012;1447506.7;992;t
US-NC;afiinc992t;p99.5p100;2013;1198898.5;992;t
US-NC;afiinc992t;p99.5p100;2014;1400623.5;992;t
US-NC;afiinc992t;p99.5p100;2015;1544683.0;992;t
US-NC;afiinc992t;p99.5p100;2016;1482274.0;992;t
US-NC;afiinc992t;p99.5p100;2017;1543090.2;992;t
US-NC;afiinc992t;p99.5p100;2018;1628407.2;992;t
US-NC;sfiinc992t;p0p99;1917;0.8894;992;t
US-NC;sfiinc992t;p0p99;1918;0.8856;992;t
US-NC;sfiinc992t;p0p99;1919;0.8603;992;t
US-NC;sfiinc992t;p0p99;1920;0.863;992;t
US-NC;sfiinc992t;p0p99;1921;0.8657;992;t
US-NC;sfiinc992t;p0p99;1922;0.852;992;t
US-NC;sfiinc992t;p0p99;1923;0.853;992;t
US-NC;sfiinc992t;p0p99;1924;0.8528;992;t
US-NC;sfiinc992t;p0p99;1925;0.849;992;t
US-NC;sfiinc992t;p0p99;1926;0.8494;992;t
US-NC;sfiinc992t;p0p99;1927;0.8378;992;t
US-NC;sfiinc992t;p0p99;1928;0.8304;992;t
US-NC;sfiinc992t;p0p99;1929;0.8699;992;t
US-NC;sfiinc992t;p0p99;1930;0.8708;992;t
US-NC;sfiinc992t;p0p99;1931;0.8592;992;t
US-NC;sfiinc992t;p0p99;1932;0.8462;992;t
US-NC;sfiinc992t;p0p99;1933;0.8531;992;t
US-NC;sfiinc992t;p0p99;1934;0.8508;992;t
US-NC;sfiinc992t;p0p99;1935;0.8545;992;t
US-NC;sfiinc992t;p0p99;1936;0.8362;992;t
US-NC;sfiinc992t;p0p99;1937;0.8474;992;t
US-NC;sfiinc992t;p0p99;1938;0.8496;992;t
US-NC;sfiinc992t;p0p99;1939;0.8486;992;t
US-NC;sfiinc992t;p0p99;1940;0.8403;992;t
US-NC;sfiinc992t;p0p99;1941;0.8478;992;t
US-NC;sfiinc992t;p0p99;1942;0.8741;992;t
US-NC;sfiinc992t;p0p99;1943;0.8886;992;t
US-NC;sfiinc992t;p0p99;1944;0.8955;992;t
US-NC;sfiinc992t;p0p99;1945;0.8796;992;t
US-NC;sfiinc992t;p0p99;1946;0.8659;992;t
US-NC;sfiinc992t;p0p99;1947;0.8766;992;t
US-NC;sfiinc992t;p0p99;1948;0.8836;992;t
US-NC;sfiinc992t;p0p99;1949;0.8913;992;t
US-NC;sfiinc992t;p0p99;1950;0.8882;992;t
US-NC;sfiinc992t;p0p99;1951;0.6685;992;t
US-NC;sfiinc992t;p0p99;1952;0.8969;992;t
US-NC;sfiinc992t;p0p99;1953;0.9087;992;t
US-NC;sfiinc992t;p0p99;1954;0.9015;992;t
US-NC;sfiinc992t;p0p99;1955;0.8984;992;t
US-NC;sfiinc992t;p0p99;1956;0.9026;992;t
US-NC;sfiinc992t;p0p99;1957;0.9012;992;t
US-NC;sfiinc992t;p0p99;1958;0.9089;992;t
US-NC;sfiinc992t;p0p99;1959;0.9043;992;t
US-NC;sfiinc992t;p0p99;1960;0.9078;992;t
US-NC;sfiinc992t;p0p99;1961;0.9047;992;t
US-NC;sfiinc992t;p0p99;1962;0.9038;992;t
US-NC;sfiinc992t;p0p99;1963;0.905;992;t
US-NC;sfiinc992t;p0p99;1964;0.9033;992;t
US-NC;sfiinc992t;p0p99;1965;0.8916;992;t
US-NC;sfiinc992t;p0p99;1966;0.8983;992;t
US-NC;sfiinc992t;p0p99;1967;0.901;992;t
US-NC;sfiinc992t;p0p99;1968;0.8987;992;t
US-NC;sfiinc992t;p0p99;1969;0.9056;992;t
US-NC;sfiinc992t;p0p99;1970;0.9124;992;t
US-NC;sfiinc992t;p0p99;1971;0.9095;992;t
US-NC;sfiinc992t;p0p99;1972;0.9093;992;t
US-NC;sfiinc992t;p0p99;1973;0.9155;992;t
US-NC;sfiinc992t;p0p99;1974;0.9183;992;t
US-NC;sfiinc992t;p0p99;1975;0.9189;992;t
US-NC;sfiinc992t;p0p99;1976;0.918;992;t
US-NC;sfiinc992t;p0p99;1977;0.916;992;t
US-NC;sfiinc992t;p0p99;1978;0.9184;992;t
US-NC;sfiinc992t;p0p99;1979;0.9101;992;t
US-NC;sfiinc992t;p0p99;1980;0.9106;992;t
US-NC;sfiinc992t;p0p99;1981;0.9133;992;t
US-NC;sfiinc992t;p0p99;1982;0.8968;992;t
US-NC;sfiinc992t;p0p99;1983;0.9024;992;t
US-NC;sfiinc992t;p0p99;1984;0.8914;992;t
US-NC;sfiinc992t;p0p99;1985;0.8857;992;t
US-NC;sfiinc992t;p0p99;1986;0.8569;992;t
US-NC;sfiinc992t;p0p99;1987;0.8881;992;t
US-NC;sfiinc992t;p0p99;1988;0.8693;992;t
US-NC;sfiinc992t;p0p99;1989;0.8708;992;t
US-NC;sfiinc992t;p0p99;1990;0.8852;992;t
US-NC;sfiinc992t;p0p99;1991;0.8888;992;t
US-NC;sfiinc992t;p0p99;1992;0.8778;992;t
US-NC;sfiinc992t;p0p99;1993;0.8804;992;t
US-NC;sfiinc992t;p0p99;1994;0.8771;992;t
US-NC;sfiinc992t;p0p99;1995;0.8718;992;t
US-NC;sfiinc992t;p0p99;1996;0.8627;992;t
US-NC;sfiinc992t;p0p99;1997;0.8543;992;t
US-NC;sfiinc992t;p0p99;1998;0.848;992;t
US-NC;sfiinc992t;p0p99;1999;0.849;992;t
US-NC;sfiinc992t;p0p99;2000;0.8411;992;t
US-NC;sfiinc992t;p0p99;2001;0.8588;992;t
US-NC;sfiinc992t;p0p99;2002;0.8582;992;t
US-NC;sfiinc992t;p0p99;2003;0.8525;992;t
US-NC;sfiinc992t;p0p99;2004;0.8432;992;t
US-NC;sfiinc992t;p0p99;2005;0.8298;992;t
US-NC;sfiinc992t;p0p99;2006;0.8209;992;t
US-NC;sfiinc992t;p0p99;2007;0.8221;992;t
US-NC;sfiinc992t;p0p99;2008;0.8483;992;t
US-NC;sfiinc992t;p0p99;2009;0.8614;992;t
US-NC;sfiinc992t;p0p99;2010;0.8526;992;t
US-NC;sfiinc992t;p0p99;2011;0.847;992;t
US-NC;sfiinc992t;p0p99;2012;0.8325;992;t
US-NC;sfiinc992t;p0p99;2013;0.8482;992;t
US-NC;sfiinc992t;p0p99;2014;0.8324;992;t
US-NC;sfiinc992t;p0p99;2015;0.8225;992;t
US-NC;sfiinc992t;p0p99;2016;0.8257;992;t
US-NC;sfiinc992t;p0p99;2017;0.8262;992;t
US-NC;sfiinc992t;p0p99;2018;0.8136;992;t
US-NC;sfiinc992t;p99.99p100;1917;0.017;992;t
US-NC;sfiinc992t;p99.99p100;1918;0.0163;992;t
US-NC;sfiinc992t;p99.99p100;1919;0.0191;992;t
US-NC;sfiinc992t;p99.99p100;1920;0.0223;992;t
US-NC;sfiinc992t;p99.99p100;1921;0.0158;992;t
US-NC;sfiinc992t;p99.99p100;1922;0.0197;992;t
US-NC;sfiinc992t;p99.99p100;1923;0.0208;992;t
US-NC;sfiinc992t;p99.99p100;1924;0.0203;992;t
US-NC;sfiinc992t;p99.99p100;1925;0.0194;992;t
US-NC;sfiinc992t;p99.99p100;1926;0.0225;992;t
US-NC;sfiinc992t;p99.99p100;1927;0.0297;992;t
US-NC;sfiinc992t;p99.99p100;1928;0.0413;992;t
US-NC;sfiinc992t;p99.99p100;1929;0.0238;992;t
US-NC;sfiinc992t;p99.99p100;1930;0.0241;992;t
US-NC;sfiinc992t;p99.99p100;1931;0.0261;992;t
US-NC;sfiinc992t;p99.99p100;1932;0.0334;992;t
US-NC;sfiinc992t;p99.99p100;1933;0.0298;992;t
US-NC;sfiinc992t;p99.99p100;1934;0.0275;992;t
US-NC;sfiinc992t;p99.99p100;1935;0.0248;992;t
US-NC;sfiinc992t;p99.99p100;1936;0.0265;992;t
US-NC;sfiinc992t;p99.99p100;1937;0.0228;992;t
US-NC;sfiinc992t;p99.99p100;1938;0.0224;992;t
US-NC;sfiinc992t;p99.99p100;1939;0.0212;992;t
US-NC;sfiinc992t;p99.99p100;1940;0.0218;992;t
US-NC;sfiinc992t;p99.99p100;1941;0.0197;992;t
US-NC;sfiinc992t;p99.99p100;1942;0.017;992;t
US-NC;sfiinc992t;p99.99p100;1943;0.0129;992;t
US-NC;sfiinc992t;p99.99p100;1944;0.0118;992;t
US-NC;sfiinc992t;p99.99p100;1945;0.0127;992;t
US-NC;sfiinc992t;p99.99p100;1946;0.0178;992;t
US-NC;sfiinc992t;p99.99p100;1947;0.0149;992;t
US-NC;sfiinc992t;p99.99p100;1948;0.0144;992;t
US-NC;sfiinc992t;p99.99p100;1949;0.0126;992;t
US-NC;sfiinc992t;p99.99p100;1950;0.0095;992;t
US-NC;sfiinc992t;p99.99p100;1951;0.0109;992;t
US-NC;sfiinc992t;p99.99p100;1952;0.0088;992;t
US-NC;sfiinc992t;p99.99p100;1953;0.0058;992;t
US-NC;sfiinc992t;p99.99p100;1954;0.0078;992;t
US-NC;sfiinc992t;p99.99p100;1955;0.0094;992;t
US-NC;sfiinc992t;p99.99p100;1956;0.0085;992;t
US-NC;sfiinc992t;p99.99p100;1957;0.009;992;t
US-NC;sfiinc992t;p99.99p100;1958;0.0074;992;t
US-NC;sfiinc992t;p99.99p100;1959;0.0087;992;t
US-NC;sfiinc992t;p99.99p100;1960;0.0075;992;t
US-NC;sfiinc992t;p99.99p100;1961;0.009;992;t
US-NC;sfiinc992t;p99.99p100;1962;0.0083;992;t
US-NC;sfiinc992t;p99.99p100;1963;0.0086;992;t
US-NC;sfiinc992t;p99.99p100;1964;0.0065;992;t
